tweet,label,index,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
"@Diktweet2 @JeffTweet68 @RepAndyBiggsAZ You can call it whatever but it was stupid and not an inserection...if it was there would have been arms and the building would have been taken over and btw....it has been proven non Republican militia were in there also involved and present",0.0,282,1,48,1,18.97,8.11,4.22,48,20.83,87.5,72.92,66.67,12.5,2.08,0,0,2.08,0,0,10.42,4.17,4.17,4.17,4.17,25,6.25,14.58,2.08,27.08,2.08,0,2.08,0,0,2.08,31.25,0,14.58,2.08,0,6.25,2.08,2.08,6.25,0,2.08,0,2.08,0,0,0,0,0,0,0,4.17,2.08,0,0,0,0,2.08,2.08,0,0,0,0,4.17,4.17,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0,0,6.25,8.33,0,0,8.33,0,0,0,0,14.58,4.17,0,2.08,2.08,0,0,0,20.83,14.58,0,0,0,0,6.25,0
How is it possible that Sly Stallone’s ‘Cobra’ is both the best and the worst movie ever made?,1.0,84,1,18,19.76,,10.18,1,18,11.11,83.33,77.78,55.56,11.11,0,0,0,0,0,0,11.11,22.22,11.11,0,0,11.11,11.11,5.56,0,16.67,16.67,5.56,5.56,0,5.56,0,33.33,5.56,16.67,5.56,11.11,0,5.56,0,0,0,5.56,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,5.56,5.56,11.11,0,0,0,0,0,0,22.22,0,0,5.56,0,11.11,5.56,0
"@alligatoraliens tbh I think the only time I hear trans people use it is trans mascs referring to themselves. I'm sure it does happen but the OG tweet really feels like ""made up a guy to be mad about""",0.0,303,1,39,61.17,55.35,81.58,2.7,19.5,7.69,94.87,79.49,51.28,15.38,10.26,7.69,0,0,0,2.56,5.13,7.69,7.69,0,15.38,12.82,5.13,2.56,0,28.21,5.13,0,0,0,0,0,35.9,5.13,20.51,7.69,5.13,0,0,2.56,2.56,0,2.56,0,2.56,2.56,0,2.56,0,2.56,0,0,17.95,5.13,0,0,0,0,2.56,12.82,0,0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.26,7.69,0,0,2.56,0,2.56,2.56,2.56,2.56,10.26,0,7.69,7.69,0,0,0,12.82,2.56,0,0,0,2.56,7.69,0
okay but like the say so song ain’t that bad. I’m unironically jam to it lmao,1.0,22,1,16,1.97,1,89.39,20.23,8,6.25,87.5,81.25,62.5,25,12.5,12.5,0,0,0,0,12.5,12.5,6.25,0,12.5,12.5,6.25,12.5,6.25,18.75,12.5,0,0,0,0,0,18.75,0,12.5,0,0,0,0,0,12.5,0,12.5,6.25,6.25,6.25,0,6.25,0,0,0,6.25,6.25,6.25,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,6.25,0,0,0,0,6.25,0,0,0,12.5,0,12.5,6.25,6.25,0,0,18.75,6.25,0,0,0,12.5,0,0
absolutely love waking up to the fire alarm at 7 am 😍,1.0,23,1,11,99,,5.07,99,11,9.09,81.82,54.55,54.55,0,0,0,0,0,0,0,0,9.09,9.09,9.09,27.27,9.09,9.09,0,0,9.09,0,0,0,0,0,0,18.18,0,9.09,0,0,0,0,9.09,0,0,9.09,9.09,0,9.09,9.09,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,18.18,9.09,0,9.09,0,0,0,0,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,9.09
Can’t wait for those $2000 checks to go out immediately,1.0,108,1,10,69.05,1,99,,10,10,90,80,60,10,0,0,0,0,0,0,10,10,0,10,30,10,10,0,10,30,0,0,0,0,0,0,20,0,10,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,10,20,0,0,0,20,0,10,0,0,0,0,0,0,20,0,0,0,0,10,10,0
Hot dog eating contest as a form of assisted suicide,1.0,60,1,10,99,,,,10,30,70,60,30,0,0,0,0,0,0,0,0,10,10,0,20,0,0,10,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ah gotta love that Friday morning burnt out feeling 🌄,1.0,25,1,9,89.52,,99,99,9,22.22,100,55.56,22.22,11.11,0,0,0,0,0,0,11.11,11.11,0,0,11.11,0,0,0,0,11.11,11.11,0,0,0,0,0,44.44,0,11.11,11.11,0,0,0,0,0,0,11.11,11.11,0,11.11,11.11,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,22.22,22.22,0,0,11.11,0,0,11.11,22.22,0,0,11.11,22.22,11.11,0,11.11,0,0,0,0,0,0,0,0,11.11
"my mom just called the spatula, an “egg flipper”",0.0,220,1,9,89.52,40.06,10.18,,9,22.22,77.78,55.56,44.44,11.11,11.11,11.11,0,0,0,0,0,33.33,22.22,0,0,0,11.11,0,0,11.11,0,0,11.11,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,11.11,0,0,0,0,11.11,11.11,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,33.33,0,11.11,0,0,0,22.22,0
6 more hours and then a whoppingly massive 2days off work! wowzers!,1.0,133,1,12,89.52,,39.59,,6,25,91.67,66.67,41.67,0,0,0,0,0,0,0,0,16.67,8.33,16.67,8.33,0,0,16.67,0,0,16.67,33.33,8.33,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,16.67,0,0,0,16.67,0,0,0
"I can't tell if my professors keep skipping/delaying Introductions because grad school is so serious and important that you have to immediately dive into material, or if because classes at AU haven't been in-person in two years all the profs are majorly disoriented",0.0,263,1,44,6.68,5.27,95.15,86.79,44,31.82,88.64,68.18,54.55,9.09,6.82,4.55,0,2.27,0,0,2.27,11.36,2.27,2.27,9.09,13.64,4.55,15.91,4.55,20.45,4.55,6.82,2.27,0,2.27,0,34.09,2.27,18.18,0,4.55,2.27,6.82,0,11.36,0,4.55,4.55,0,0,0,0,0,0,0,0,11.36,2.27,0,0,0,0,2.27,9.09,0,0,0,0,0,0,0,0,11.36,0,0,11.36,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,2.27,0,0,0,4.55,6.82,0,2.27,4.55,0,0,0,6.82,2.27,6.82,4.55,0,0,0,0,0,11.36,0,2.27,0,0,4.55,4.55,0
it’s Songkran right now in Thailand and I wish I was there😩😩,0.0,236,1,12,1,1,99,,12,16.67,91.67,75,66.67,25,16.67,16.67,0,0,0,0,8.33,0,0,0,8.33,16.67,16.67,8.33,0,25,0,0,0,0,0,0,33.33,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,16.67,25,0,0,16.67,0,8.33,0,8.33,8.33,16.67,8.33,0,0,0,0,0,8.33,0,0,0,0,8.33,0,16.67
We didn’t deserve to draw anyway but it’s just so frustrating to lose due to shit officiating,0.0,205,1,17,3.11,2.18,12.44,1,17,17.65,88.24,64.71,58.82,11.76,5.88,0,5.88,0,0,0,5.88,0,0,0,17.65,11.76,17.65,11.76,5.88,17.65,0,0,11.76,5.88,5.88,0,35.29,0,17.65,0,0,5.88,0,0,11.76,0,17.65,0,11.76,5.88,0,5.88,0,5.88,0,5.88,11.76,5.88,0,0,0,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,5.88,5.88,5.88,0,0,0,0,0,0,11.76,0,0,0,0,11.76,0,0
Taxes  are just the best and I cannot wait to pay more 😇🥰🥺,1.0,33,1,12,10.19,1,39.59,,12,0,100,83.33,66.67,8.33,8.33,8.33,0,0,0,0,0,16.67,8.33,0,8.33,16.67,8.33,8.33,8.33,25,16.67,8.33,8.33,0,8.33,0,16.67,0,8.33,0,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,8.33,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Really happy that the weather has stayed like this for the whole weekend,1.0,167,1,13,89.52,,30.98,99,13,15.38,92.31,84.62,61.54,15.38,0,0,0,0,0,0,15.38,30.77,15.38,0,15.38,7.69,7.69,0,0,15.38,15.38,7.69,0,0,0,0,23.08,0,7.69,0,0,0,0,7.69,0,0,7.69,7.69,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,7.69,0,0,0,7.69,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Good news: Played out of my mind from the sand traps today. Bad news: Was in the sand traps a lot today.,1.0,134,1,22,99,17.46,79.84,99,11,0,81.82,54.55,45.45,4.55,4.55,4.55,0,0,0,0,0,22.73,13.64,0,18.18,4.55,0,0,0,9.09,4.55,4.55,0,0,0,0,22.73,0,4.55,0,0,0,0,0,0,0,18.18,13.64,4.55,9.09,4.55,4.55,0,0,0,0,9.09,9.09,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,4.55,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,0,0,9.09,0,0,0,9.09,9.09,9.09,0,0,0,0,0,0,18.18,9.09,0,0,0,0,9.09,0
as much as i like being home i miss my uni pals and messing around in the kitchen at 2am,0.0,235,1,20,80.96,3.95,89.39,90.5,20,10,95,60,60,15,15,15,0,0,0,0,0,15,5,5,25,5,0,15,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,5,0,5,0,0,0,0,0,0,10,0,10,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,5,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunset over the Appalachian mountains. https://t.co/hg5EVkOLhY,0.0,203,1,6,99,,99,,6,33.33,66.67,33.33,33.33,0,0,0,0,0,0,0,0,16.67,16.67,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,16.67,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0
How are there women in this world who think we should be kind to pedophiles and rapists? Howwwwwwww? They’re not sorry!,0.0,194,1,21,1,99,84.92,1,7,14.29,90.48,71.43,61.9,19.05,14.29,0,4.76,0,0,4.76,4.76,4.76,0,0,9.52,19.05,9.52,4.76,4.76,23.81,4.76,0,4.76,4.76,0,0,28.57,0,19.05,9.52,4.76,4.76,0,0,4.76,0,9.52,0,9.52,0,0,0,0,0,0,0,33.33,14.29,4.76,0,0,9.52,0,23.81,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,9.52,0,0,0,0,0,9.52,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,9.52,0,0,0,0,0,0,19.05,0,0,9.52,4.76,4.76,0,0
help! i'm being haunted by dead people! (my dissertations),1.0,17,1,9,10.19,2.75,77.17,20.23,3,22.22,100,66.67,44.44,22.22,22.22,22.22,0,0,0,0,0,11.11,0,0,11.11,22.22,0,0,0,22.22,22.22,0,11.11,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,22.22,11.11,11.11,0,0,0,0,0,0,0,22.22,11.11,11.11,0,0,0,0,11.11,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,55.56,0,0,0,22.22,11.11,22.22,0
when the toilet seat is warmed up for you&gt;&gt;&gt;,1.0,46,1,12,73.36,98.75,39.59,,12,0,58.33,58.33,50,8.33,8.33,0,0,8.33,0,0,0,8.33,8.33,0,16.67,8.33,8.33,8.33,0,8.33,8.33,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,8.33,0,0,8.33,8.33,0,8.33,0,0,0,0,0,0,50,0,0,0,0,0,50,0
Efy is great,1.0,36,1,3,10.19,,,99,3,0,66.67,66.67,33.33,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,33.33,33.33,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5:30 banshee-like kitten zoomies are definitely my all-time favorite alarm clock, and the sound of jewelry boxes flipping over and burnouts on the wood floor make for the calmest, most enjoyable start to any workday.",1.0,42,1,36,97.04,25.13,22.12,93.93,36,30.56,75,55.56,41.67,2.78,2.78,2.78,0,0,0,0,0,16.67,8.33,5.56,13.89,2.78,2.78,5.56,0,8.33,11.11,2.78,2.78,0,2.78,0,13.89,0,8.33,0,2.78,0,2.78,2.78,0,0,11.11,8.33,2.78,8.33,5.56,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0,0,5.56,11.11,2.78,0,5.56,0,2.78,0,5.56,0,2.78,0,0,0,0,0,0,16.67,2.78,5.56,0,0,0,8.33,0
"AMAZING game, @RobinLehner!
So happy to have you in Vegas!
❤️❤️❤️",0.0,343,1,10,39.7,99,7.03,99,3.33,20,80,60,50,10,10,0,0,10,0,0,0,0,0,0,20,10,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,20,20,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,40,0,10,0,20,0,10,30
if i saw a capybara in person id probably throw up,1.0,110,1,11,45.12,1,99,,11,18.18,90.91,81.82,63.64,18.18,18.18,18.18,0,0,0,0,0,9.09,9.09,0,18.18,9.09,9.09,9.09,0,27.27,0,0,0,0,0,0,27.27,0,27.27,0,0,9.09,18.18,0,9.09,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.36,0,9.09,18.18,9.09,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Networking, networking and networking - big message from today’s key note speakers #PRS2021",0.0,180,1,12,89.52,,39.59,,12,50,58.33,33.33,16.67,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,8.33,0,0,16.67,8.33,0,0,0,0,16.67,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,8.33,0,8.33,0,0,0,0,0,0,33.33,0,8.33,0,0,8.33,16.67,0
Life is about eating chicken finger and getting drunk,1.0,79,1,9,33.38,,,,9,22.22,100,55.56,33.33,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,11.11,11.11,0,33.33,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44,0,0,0,0,11.11,0,22.22,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"knew one coworker recently had a baby, but didn't send us pictures so far. People are curious, so I tacked up a stock photo of an ugly baby.",0.0,285,1,28,35.59,79.51,97.09,1,14,14.29,85.71,64.29,50,7.14,7.14,3.57,3.57,0,0,0,0,14.29,10.71,3.57,7.14,10.71,7.14,10.71,3.57,17.86,7.14,3.57,7.14,7.14,0,0,25,0,14.29,7.14,0,0,0,0,7.14,0,3.57,0,3.57,0,0,0,0,0,0,0,17.86,0,0,0,0,0,0,17.86,7.14,0,0,0,0,0,0,0,3.57,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,3.57,7.14,0,0,7.14,0,0,0,3.57,10.71,3.57,0,0,0,0,0,0,17.86,7.14,7.14,0,0,3.57,0,0
My living room feels really lively now. I’m recklessly sipping tea absorbing choons #TaeSup,1.0,101,1,14,7.34,1,97.09,20.23,7,21.43,71.43,50,28.57,14.29,14.29,14.29,0,0,0,0,0,7.14,0,0,0,7.14,14.29,0,0,14.29,14.29,0,0,0,0,0,28.57,0,14.29,7.14,0,0,0,7.14,0,0,14.29,7.14,7.14,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,0,7.14,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,7.14,0,7.14,7.14,0,0,0,0,0,7.14,7.14,0,21.43,0,0,0,0,0,0,21.43,7.14,0,0,0,7.14,7.14,0
I love a Monday morning so glad the weekends over!,1.0,165,1,10,89.52,3.95,99,99,10,20,100,60,50,10,10,10,0,0,0,0,0,20,20,0,10,0,10,10,0,0,10,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,20,20,0,20,20,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,10,0,0,0,30,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0
wearing a cute jumpsuit is all fun and games until you have to go to the bathroom,1.0,139,1,17,89.52,93.56,46.57,99,17,17.65,88.24,76.47,52.94,5.88,5.88,0,0,5.88,0,0,0,17.65,11.76,0,17.65,11.76,0,11.76,0,23.53,11.76,5.88,0,0,0,0,17.65,5.88,0,0,0,0,0,0,0,0,11.76,11.76,0,5.88,5.88,0,0,0,0,0,5.88,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,11.76,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0,0,0,0,11.76,5.88,0,5.88,5.88,0,0,0,5.88,0,5.88,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0
Good morning September... Hello tonsillitis :(,1.0,89,1,6,,,99,99,3,50,83.33,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,66.67,50,16.67,16.67,0,16.67,0,0,16.67,0,50,50,0,50,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,16.67,16.67,0,0,0,83.33,50,0,0,0,0,33.33,0
"My PS4 Pro has P.T on it, which is somewhat funny as it was taken down before the PS4 Pro was even released #konami #PT #SilentHills #Spooky #PlayableTeaser #Kojima",1.0,83,1,30,30.37,10.48,19.26,20.23,30,13.33,66.67,56.67,50,13.33,3.33,3.33,0,0,0,0,10,6.67,3.33,6.67,13.33,13.33,6.67,6.67,0,16.67,3.33,0,0,0,0,0,26.67,0,6.67,0,0,0,3.33,0,3.33,0,6.67,3.33,3.33,6.67,3.33,3.33,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,3.33,3.33,0,0,3.33,0,0,0,3.33,10,6.67,0,0,0,0,0,0,26.67,3.33,3.33,0,0,0,20,0
Today has made 4 years since ‘The End’ and I’m honestly about to cry. https://t.co/Sdpqid6tUw,0.0,268,1,15,59.67,10.48,99,1,15,6.67,100,60,40,6.67,6.67,6.67,0,0,0,0,0,6.67,6.67,13.33,13.33,13.33,0,13.33,0,26.67,0,6.67,0,0,0,0,53.33,0,20,0,13.33,0,0,6.67,0,0,6.67,0,6.67,6.67,0,6.67,0,0,6.67,0,6.67,6.67,0,0,0,0,6.67,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,26.67,6.67,20,13.33,0,0,0,0,0,26.67,6.67,0,0,0,13.33,6.67,0
aquariums are just liquid zoos,0.0,324,1,5,3.8,,,,5,20,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I just absolutely LOVE how I've got to work outside for the next 3 days in the heatwave.

#sweatingmyballsoff",1.0,13,1,19,89.52,3.34,99,92.27,9.5,21.05,89.47,73.68,57.89,10.53,10.53,10.53,0,0,0,0,0,10.53,10.53,5.26,21.05,5.26,15.79,0,0,10.53,5.26,5.26,0,0,0,0,26.32,0,10.53,5.26,5.26,0,0,5.26,0,0,5.26,5.26,0,5.26,5.26,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.53,10.53,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,5.26,5.26,0,0,5.26,0,0,0,10.53,5.26,0,0,5.26,0,5.26,0,0,15.79,5.26,0,0,0,5.26,5.26,0
"me: :(
me after eating one blueberry: :)",0.0,334,1,8,26.1,1,99,20.23,8,12.5,100,87.5,50,25,25,25,0,0,0,0,0,12.5,0,12.5,12.5,0,0,12.5,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.5,12.5,25,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,25,25,0,0,0,75,0,0,0,0,0,75,0
"💕 tip for baking bread! 🍞🥐🥖 you can use the yeast in your dog's ears to substitute active dry yeast or instant yeast in a pinch! 💕",1.0,95,1,24,97.04,94.84,15.38,,8,8.33,70.83,58.33,41.67,8.33,8.33,0,0,8.33,0,0,0,12.5,8.33,0,16.67,4.17,0,4.17,0,12.5,8.33,0,0,0,0,0,12.5,0,12.5,0,4.17,4.17,4.17,0,4.17,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,8.33,0,4.17,4.17,4.17,0,4.17,0,0,0,0,0,0,12.5,0,0,0,8.33,4.17,0,20.83
"This weather is really making me want to put shorts on, flock to the beach and get the deck chair out.... Yeah right!!!",1.0,163,1,23,94.33,18.24,17.84,,11.5,4.35,78.26,69.57,47.83,8.7,4.35,4.35,0,0,0,0,4.35,13.04,8.7,0,17.39,4.35,4.35,4.35,0,21.74,0,0,0,0,0,0,17.39,0,13.04,0,4.35,4.35,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,4.35,0,0,0,0,0,0,13.04,13.04,0,4.35,8.7,0,0,0,0,0,4.35,0,4.35,0,4.35,0,0,34.78,17.39,4.35,0,13.04,0,0,0
"It was almost 70 degrees today but no, global warming doesn't exist 😒",1.0,144,1,12,1,1,89.39,,12,16.67,83.33,66.67,50,8.33,0,0,0,0,0,0,8.33,8.33,0,8.33,0,16.67,8.33,8.33,16.67,16.67,16.67,0,0,0,0,0,50,8.33,16.67,0,0,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,8.33,0,0,8.33,8.33,8.33,16.67,0,0,0,0,0,0,16.67,0,8.33,0,0,8.33,0,8.33
